Barcode,Batch,Equipment,Ingested,Call Number,Title,Author,Imprint,BibId
30112116858728,LO_2021_03_02,,FALSE,Q. 759.9492074 D951,Dutch and Flemish paintings : Dulwich Picture Gallery /,"Jonker, Michiel,","London : Dulwich Picture Gallery in association with D. GILES Limited, [2016]",99814295912205899
30112037358261,LO_2021_03_02,,FALSE,770.1 H615F,"Family frames : photography, narrative, and postmemory /","Hirsch, Marianne.","Cambridge, Mass. : Harvard University Press, ©1997.",99403398012205899
30112004150808,LO_2021_03_02,,FALSE,HC427.6 .C533,Song dai di yu jing ji /,"Cheng, Minsheng.",Kaifeng Shi : Henan da xue chu ban she 1992.,99397588612205899
30112124280576,LO_2021_03_02,,FALSE,E99.P9 O78 2018,Painted reflections : isomeric design in ancestral Pueblo pottery /,"Ortman, Scott G.,","Santa Fe : Museum of New Mexico Press, [2018]",99891694012205899
30112012013402,DS_2021_03_02,Epson Flatbed,TRUE,HM267 .H313 1980,The collective memory /,"Halbwachs, Maurice,","New York : Harper & Row, c1980.",9946527612205899
30112124297299,DS_2021_03_02,,FALSE,E184.K6 P364 2019,Kakao talk and Facebook : Korean American youth constructing hybrid identities /,"Park, Jiwoo,","New York : Peter Lang, [2019]",99909724512205899
30112077781240,DS_2021_03_02,Epson Flatbed,TRUE,E99.P9 M68 2009,Mothers & daughters : stories in clay.,"Pardue, Diana F.","Phoenix, AZ : Heard Museum, [2009]",99757692712205899
30112115684885,IA_2021_03_02,,FALSE,DOC. D 209.14/2:7/2,"Soil mechanics, foundations, and earth structures.",United States. Naval Facilities Engineering Command.,"Alexandria, Va. : [Washington, D.C.] : Dept of the Navy, Naval Facilities Engineering Command 1971.",99798613312205899
30112018686037,IA_2021_03_02,,FALSE,027.67 C1532R,Report to the director of the California Department of Corrections.,California Library Association. Blue Ribbon Committee on Correctional Library Services.,"Sacramento, Calif., 1973.",99248122712205899
30112015552513,IA_2021_03_02,,FALSE,Q. M786.41SK6 S51943,Sonata no. 5 for the piano : op. 53 /,"Scriabin, Aleksandr Nikolayevich,","New York : International music Co, [1943]",99243248112205899
30112015534347,IA_2021_03_02,,FALSE,Q. M786.41B35 FR,"FROM GRANDMOTHER'S GARDEN, PIANO, OP.97","Beach, H. H. A.,","PHILADELPHIA, 1922.",99205498712205899
30112107415926,LO_2021_03_03,,FALSE,266.023096897 M4599p 2008,"Politics and Christianity in Malawi, 1875-1940 : the impact of the Livingstonia Mission in the Northern Province /","McCracken, John,","Zomba : Kachere Series, 2008.",99653407912205899
30112037452270,LO_2021_03_03,,FALSE,973.9 H348m,"McCarthy's Americans : red scare politics in state and nation, 1935-1965 /","Heale, M. J.","Athens, Ga. : University of Georgia Press, 1998.",99407326812205899
